******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.238194444, 770568.206078, -673582.195306, -313554.654457
2460311.238888889, 771103.640394, -673160.019260, -313277.082884
2460311.239583333, 771636.430051, -672737.600002, -312996.642659
2460311.240277778, 772166.482726, -672314.937521, -312713.415600
2460311.240972222, 772693.708925, -671892.031793, -312427.486609
2460311.241666667, 773218.022083, -671468.882786, -312138.943579
2460311.242361111, 773739.338668, -671045.490455, -311847.877289
2460311.243055556, 774257.578271, -670621.854746, -311554.381301
2460311.243750000, 774772.663708, -670197.975594, -311258.551854
2460311.244444444, 775284.521102, -669773.852923, -310960.487749
2460311.245138889, 775793.079972, -669349.486650, -310660.290242
2460311.245833333, 776298.273313, -668924.876679, -310358.062919
2460311.246527778, 776800.037675, -668500.022907, -310053.911586
2460311.247222222, 777298.313235, -668074.925222, -309747.944138
2460311.247916667, 777793.043868, -667649.583501, -309440.270442
2460311.248611111, 778284.177213, -667223.997615, -309131.002204
2460311.249305556, 778771.664729, -666798.167425, -308820.252845
2460311.250000000, 779255.461757, -666372.092786, -308508.137368
2460311.250694444, 779735.527569, -665945.773543, -308194.772223
2460311.251388889, 780211.825416, -665519.209536, -307880.275175
2460311.252083333, 780684.322569, -665092.400598, -307564.765170
2460311.252777778, 781152.990359, -664665.346554, -307248.362190
2460311.253472222, 781617.804211, -664238.047224, -306931.187122
2460311.254166667, 782078.743671, -663810.502422, -306613.361613
2460311.254861111, 782535.792428, -663382.711957, -306295.007931
2460311.255555556, 782988.938335, -662954.675633, -305976.248824
2460311.256250000, 783438.173425, -662526.393248, -305657.207375
2460311.256944444, 783883.493916, -662097.864599, -305338.006865
2460311.257638889, 784324.900216, -661669.089476, -305018.770623
2460311.258333333, 784762.396925, -661240.067668, -304699.621888
2460311.259027778, 785195.992828, -660810.798960, -304380.683666
2460311.259722222, 785625.700881, -660381.283136, -304062.078584
2460311.260416667, 786051.538202, -659951.519977, -303743.928752
2460311.261111111, 786473.526046, -659521.509261, -303426.355620
2460311.261805556, 786891.689782, -659091.250768, -303109.479838
2460311.262500000, 787306.058861, -658660.744276, -302793.421113
2460311.263194445, 787716.666786, -658229.989563, -302478.298077
2460311.263888889, 788123.551067, -657798.986407, -302164.228143
2460311.264583333, 788526.753179, -657367.734586, -301851.327374
2460311.265277778, 788926.318517, -656936.233883, -301539.710347
2460311.265972222, 789322.296337, -656504.484078, -301229.490019
2460311.266666667, 789714.739703, -656072.484956, -300920.777601
2460311.267361111, 790103.705422, -655640.236304, -300613.682425
2460311.268055555, 790489.253980, -655207.737912, -300308.311822
2460311.268750000, 790871.449468, -654774.989574, -300004.770993
2460311.269444444, 791250.359513, -654341.991088, -299703.162895
2460311.270138889, 791626.055194, -653908.742256, -299403.588115
2460311.270833333, 791998.610960, -653475.242886, -299106.144761
